Date,Returns,Volatility,Extreme_3sigma,Extreme_2sigma,Extreme_p95
2015-01-02,,,False,False,False
2015-01-05,-0.028171492290295364,,False,False,False
2015-01-06,9.433599836605744e-05,,False,False,False
2015-01-07,0.014021872446828398,,False,False,False
2015-01-08,0.038422247121298936,,False,False,True
2015-01-09,0.0010724332111777812,,False,False,False
2015-01-12,-0.02464038569310989,,False,False,False
2015-01-13,0.008878530339682111,,False,False,False
2015-01-14,-0.0038103488589177337,,False,False,False
2015-01-15,-0.02714046697479755,,False,False,False
2015-01-16,-0.0077702310548017905,,False,False,False
2015-01-20,0.02575742265870251,,False,False,False
2015-01-21,0.007634041541956682,,False,False,False
2015-01-22,0.02601581287137411,,False,False,False
2015-01-23,0.00516017521244061,,False,False,False
2015-01-26,0.0010617059386748284,,False,False,False
2015-01-27,-0.03501297500071554,,False,False,False
2015-01-28,0.056533063682398854,,False,False,True
2015-01-29,0.031133407903368937,,False,False,False
2015-01-30,-0.014634239445643793,,False,False,False
2015-02-02,0.012546979849531459,,False,False,False
2015-02-03,0.0001683300580870295,,False,False,False
2015-02-04,0.007669722742170704,,False,False,False
2015-02-05,0.007137557287357765,,False,False,False
2015-02-06,-0.008420885343888962,,False,False,False
2015-02-09,0.006642757114584397,,False,False,False
2015-02-10,0.019211440529339097,,False,False,False
2015-02-11,0.023438810954234945,,False,False,False
2015-02-12,0.012652101955551665,,False,False,False
2015-02-13,0.004902791299384868,,False,False,False
2015-02-17,0.005901810245740435,0.01999385316508565,False,False,False
2015-02-18,0.006962356913235546,0.018952465517594816,False,False,False
2015-02-19,-0.0020975740074008487,0.018983087872409075,False,False,False
2015-02-20,0.008174422766226153,0.01893470730096506,False,False,False
2015-02-23,0.027027254102821807,0.018377347642268727,False,False,False
2015-02-24,-0.006240994280796386,0.018494089954363264,False,False,False
2015-02-25,-0.0255730725856399,0.018547781277161213,False,False,False
2015-02-26,0.012656257173979668,0.018582215695716914,False,False,False
2015-02-27,-0.015028340500079618,0.018895070838230266,False,False,False
2015-03-02,0.004904111816063761,0.017860836249847536,False,False,False
2015-03-03,0.0020917613995812268,0.017676709236943183,False,False,False
2015-03-04,-0.006339032241020615,0.01746897738159171,False,False,False
2015-03-05,-0.016570545804145742,0.01793764795968516,False,False,False
2015-03-06,0.0015027800623785836,0.017503639691401604,False,False,False
2015-03-09,0.004265602471978713,0.01750280126751773,False,False,False
2015-03-10,-0.020686053502252055,0.018079100493138912,False,False,False
2015-03-11,-0.01823139827841691,0.01707838859777952,False,False,False
2015-03-12,0.018079070357207794,0.01420543561991596,False,False,False
2015-03-13,-0.006910369576906716,0.013252707327783188,False,False,False
2015-03-16,0.011004055636916865,0.013000196639693247,False,False,False
2015-03-17,0.016726761434245008,0.013134822850938197,False,False,False
2015-03-18,0.011256617618004894,0.013222643864813465,False,False,False
2015-03-19,-0.007550710662228899,0.013323757305252355,False,False,False
2015-03-20,-0.012549128444585556,0.013563145064194206,False,False,False
2015-03-23,0.010405181520446227,0.013513834169241193,False,False,False
2015-03-24,-0.004087508513031968,0.013537847810424837,False,False,False
2015-03-25,-0.026126926406139672,0.0140677882460566,False,False,False
2015-03-26,0.006970229248080662,0.013448073755217385,False,False,False
2015-03-27,-0.007968580065307096,0.01330085598430806,False,False,False
2015-03-30,0.025314987772678155,0.014099238738761302,False,False,False
2015-03-31,-0.01535203492508952,0.014320005050724813,False,False,False
2015-04-01,-0.0014468706158877742,0.014244947368553368,False,False,False
2015-04-02,0.008611725449781282,0.01435233263567586,False,False,False
2015-04-06,0.01619890032963789,0.014596556020311097,False,False,False
2015-04-07,-0.010522231741583288,0.013743725072746314,False,False,False
2015-04-08,-0.0032539483930167368,0.013720542214673871,False,False,False
2015-04-09,0.007643488266669385,0.013043380042951896,False,False,False
