Date,Adj Close,Close,High,Low,Open,Volume
2015-01-02,24.23754883,27.33250046,27.86000061,26.83749962,27.84749985,212818400
2015-01-05,23.55474091,26.5625,27.16250038,26.35250092,27.07250023,257142000
2015-01-06,23.55696297,26.56500053,26.85750008,26.15749931,26.63500023,263188400
2015-01-07,23.8872757,26.9375,27.04999924,26.67499924,26.79999924,160423600
2015-01-08,24.80507851,27.97249985,28.03750038,27.17499924,27.30750084,237458000
2015-01-09,24.8316803,28.00250053,28.3125,27.55249977,28.16749954,214798000
2015-01-12,24.21981812,27.3125,28.15749931,27.20000076,28.14999962,198603200
2015-01-13,24.43485451,27.55500031,28.20000076,27.22750092,27.85750008,268367600
2015-01-14,24.34174919,27.45000076,27.62249947,27.125,27.26000023,195826400
2015-01-15,23.68110275,26.70499992,27.51499939,26.66500092,27.5,240056000
2015-01-16,23.49709511,26.49749947,26.89500046,26.29999924,26.75749969,314053200
2015-01-20,24.10231972,27.18000031,27.24250031,26.625,26.95999908,199599600
2015-01-21,24.28631783,27.38750076,27.76499939,27.06749916,27.23749924,194303600
2015-01-22,24.91814613,28.10000038,28.11750031,27.43000031,27.56500053,215185600
2015-01-23,25.04672813,28.24500084,28.4375,27.88249969,28.07500076,185859200
2015-01-26,25.07332039,28.27499962,28.59000015,28.20000076,28.43499947,222460000
2015-01-27,24.19542885,27.28499985,28.12000084,27.25749969,28.10499954,382274800
2015-01-28,25.56327057,28.82749939,29.53000069,28.82749939,29.40749931,585908400
2015-01-29,26.3591423,29.72500038,29.79750061,28.88999939,29.07999992,337745600
2015-01-30,25.9733963,29.29000092,30,29.21249962,29.60000038,334982000
2015-02-02,26.29928398,29.65749931,29.79249954,29.02000046,29.51250076,250956400
2015-02-03,26.30371094,29.66250038,29.77249908,29.40250015,29.625,207662800
2015-02-04,26.50545311,29.88999939,30.12750053,29.57749939,29.625,280598800
2015-02-05,26.6946373,29.98500061,30.05750084,29.8125,30.00499916,168984800
2015-02-06,26.46984482,29.73250008,30.0625,29.61249924,30.00499916,174826400
2015-02-09,26.64567757,29.93000031,29.95999908,29.60750008,29.63750076,155559200
2015-02-10,27.15757942,30.50499916,30.53750038,30.04000092,30.04249954,248034000
2015-02-11,27.79412079,31.21999931,31.22999954,30.625,30.69249916,294247200
2015-02-12,28.14577484,31.61499977,31.87000084,31.39249992,31.51499939,297898000
2015-02-13,28.2837677,31.77000046,31.81999969,31.41250038,31.81999969,217088800
2015-02-17,28.45069313,31.95750046,32.22000122,31.72999954,31.87249947,252609600
2015-02-18,28.64877701,32.18000031,32.19499969,31.86249924,31.90749931,179566800
2015-02-19,28.58868408,32.11249924,32.25749969,32.08250046,32.11999893,149449600
2015-02-20,28.82238007,32.375,32.375,32.01250076,32.15499878,195793600
2015-02-23,29.60136986,33.25,33.25,32.41500092,32.50500107,283896400
2015-02-24,29.41662788,33.04249954,33.40000153,32.79249954,33.23500061,276912400
2015-02-25,28.66435432,32.19749832,32.90000153,32.03749847,32.88999939,298846800
2015-02-26,29.02713776,32.60499954,32.71749878,31.65250015,32.19749832,365150000
2015-02-27,28.59090805,32.11500168,32.64250183,32.06000137,32.5,248059200
2015-03-02,28.73112106,32.27249908,32.56999969,32.07500076,32.3125,192386800
2015-03-03,28.79121971,32.34000015,32.38000107,32.02249908,32.24000168,151265200
